protein_id,class,label
A0A8J5KCV3,1,1
A0A6P4Z9W3,1,6
A0A0D2J808,1,1
A0A316VXN5,1,1
A0A316VM87,1,1
A0A7J7JSE7,1,1
A0A1Q6E524,1,1
A0A970PD18,1,1
A0A2E5ACH9,1,1
A0A1F7AEW1,1,1
A0A2H0S8I5,1,1
A0A2M7UP99,1,1
A0A967BPL3,1,1
A0A7S4CES4,1,1
A0A078A496,1,1
A0A077ZYA5,1,1
A0A7C2LEU7,1,1
A0A972W2C4,1,1
A0A7X2S9L3,1,1
A0A0R2XTW6,1,1
A0A357FT95,1,1
A0A355SV67,1,1
A0A0W8FGA8,1,1
A0A0S8AJB0,1,1
A0A0S8ALI4,1,1
A0A0W8EAN4,1,1
A0A1E7HIX4,1,1
A0A1E7INI4,1,1
A0A1V4TNE0,1,1
A0A1V5D2N6,1,1
A0A1V4ZPV0,1,1
A0A1V4WQR1,1,1
A0A1V4UG10,1,1
A0A1W9MRQ8,1,1
A0A1V4U3K9,1,1
A0A1V4U6K1,1,1
A0A1V5III6,1,1
A0A1V5A242,1,1
A0A1L3GT71,1,1
A0A1V4ZUZ3,1,1
A0A1V4U9Y1,1,1
A0A1V1X1S8,1,1
A0A1L3GGR6,1,1
A0A1V5CNG5,1,1
A0A1V4ZWZ8,1,1
A0A2I0D2C0,1,1
A0A2I0NY63,1,1
A0A2I0PH59,1,1
A0A2J6IYA3,1,1
A0A2I0PPJ2,1,1
A0A2J6JC52,1,1
A0A2M6Z9R5,1,1
A0A3N6AI60,1,1
A0A3C1S6B8,1,1
A0A3N5N1K1,1,1
A0A3M1ZYR5,1,1
A0A401FW92,1,1
A0A3N5MY19,1,1
A0A3N5W1G4,1,1
A0A522BJL3,1,1
A0A5K7YDD6,1,1
A0A533RJS7,1,1
A0A7C8B312,1,1
A0A7C1BC82,1,1
A0A6V8LRJ9,1,1
A0A7C2AB32,1,1
A0A7C3BXA7,1,1
A0A6P1ZHG1,1,1
A0A7V2GDL4,1,1
A0A7J4KFB1,1,1
A0A7K4HNC3,1,1
A0A7K4A581,1,1
A0A7V4ZCL5,1,1
A0A7V3DE61,1,1
A0A831UAC7,1,1
A0A832WI55,1,1
A0A831PS58,1,1
A0A843KTE8,1,1
A0A832TMI9,1,1
A0A933Z2C6,1,1
A0A940UL46,1,1
A0A9D5VTV3,1,1
A0A949KNG5,1,1
A0A940UQ04,1,1
A0A9E2UQH9,1,1
A0A946BFL8,1,1
A0A947B3R1,1,1
A0A937WBI1,1,1
A0A9X4ME57,1,1
A0A9W6D194,1,1
A0AA42YRC7,1,1
C0QL64,1,1
A0A7S4NAH7,1,1
A0A7S2E9R5,1,1
A0A7S2R439,1,1
A0A1C6QAX1,1,1
A0A1Q5PJX4,1,1
A0A1J0W045,1,1
A0A4V2ETK6,1,1
A0A6B3EQ56,1,1
A0A941BZ17,1,1
A0A1I8HFI5,1,1
A0A315V3G3,1,1
A0A3B3SS54,1,1
A0A3Q3IPI9,1,1
A0A3Q0SQL1,1,1
A0A4W6FZK2,1,1
A0A671YWA7,1,1
A0A668U8I0,1,1
A0A5N5KJU8,1,1
A0A6F9AFQ3,1,1
A0A6F9C1I7,1,1
A0A8C2EAY9,1,1
A0A8C1YZR2,1,1
A0A8C1N9K9,1,1
A0A8C1YQW0,1,1
A0A8C1UUM8,1,1
A0A8C1DBY2,1,1
A0A8C2E5A8,1,1
A0A8C5BD85,1,1
A0A8C7MZ79,1,1
A0A8C7XDQ8,1,1
A0A8D3CZL3,1,1
A0A8T3CP67,1,1
A0A9Q1EUQ0,1,1
A0AAD8YQQ3,1,1
A0A3B3VWP3,1,1
A0A3B4B719,1,1
A0A3Q3WZI1,1,1
A0A3P8VNG9,1,1
A0A3Q3GEW5,1,1
A0A3B3XS21,1,1
A0A498MFV7,1,1
A0A4W6FZN4,1,1
A0A498LAN6,1,1
A0A665VLL4,1,1
A0A556V8X3,1,1
A0A669C5Z4,1,1
A0A6I9MUY3,1,1
A0A6J2Q2M0,1,1
A0A6P8UFU5,1,1
A0A6Q2X559,1,1
A0A6Q2YVP9,1,1
A0A7J5YAT4,1,1
A0A8C1HLX0,1,1
A0A8C5ES50,1,1
A0A8C1V098,1,1
A0A8C1YZQ8,1,1
A0A8M1KKV4,1,1
A0AAE0Q120,1,1
A0AAJ7XEY1,1,1
A0A8J5JL86,1,6
A0A545UGE9,1,1
A0A3D0H302,1,1
A0A970CC72,1,1
A0A3P9PRB7,1,3
Q65ZG7,1,1
A0A3M7T5R5,1,3
A0A2H6A738,1,1
A0A2A3EEK1,1,1
A0A4S2K9B3,1,1
A0A498N854,1,1
A7SE02,1,1
A0A8J7XQZ3,1,1
A0A9J7Z3H9,1,1
A0AAD8ZDZ6,1,1
A0A6P5T5P0,1,1
A7AU34,1,1
A0A2N7NC92,1,1
A0A419DS29,1,1
A0A420E8S8,1,1
A0A1Y2BTU9,1,1
A0A0L0HT08,1,1
A0A507ER00,1,1
A0A9W3A1U2,1,2
A0A9W3A289,1,2
A0A9W3A1U6,1,2
A0A9W3A285,1,2
A0A9W3A284,1,2
A0A9W3A271,1,2
A0A0V1ECC5,1,1
A0A1A8AVS2,1,1
A0A0V1IJN7,1,1
A0A0V1MXZ7,1,1
A0A0V0Y5J7,1,1
A0A0V1FAF2,1,1
A0A0V1HQ45,1,1
A0A2C9KZP7,1,1
A0A2I3G3X6,1,1
A0A3B3XF62,1,1
A0A3B4VGM7,1,1
A0A3B1KCF0,1,1
A0A3B5LW72,1,1
A0A3Q0RXY5,1,1
A0A3Q3ISC9,1,1
A0A3Q3XD88,1,1
A0A4W2IT17,1,1
A0A4W5PG84,1,1
A0A4W5NAC2,1,1
A0A674ACP6,1,1
A0A668SLD8,1,1
A0A665VH24,1,1
A0A671UJH9,1,1
A0A674AMI8,1,1
A0A668SMH6,1,1
A0A6F9BJV1,1,1
A0A6P5QYK1,1,1
A0A6F9CYH6,1,1
A0A6I9LS15,1,1
A0A7J7KQ39,1,1
A0A7J7ENY1,1,1
A0A7J6A6S9,1,1
A0A814BAG0,1,1
A0A8C6HQA7,1,1
A0A8C2P383,1,1
A0A8D3ANG1,1,1
A0A8C9T6Z1,1,1
A0A8C7WJ76,1,1
A0A8U1F8E8,1,1
A0A8T2KMW4,1,1
A0A8J6GYY2,1,1
A0A913ZJ90,1,1
A0A9Q0EYM9,1,1
A0A9P1MR23,1,1
A0AAD8ZJZ1,1,1
B5X7F7,1,1
H2TAP3,1,1
G3P6G3,1,1
A0A061IIJ5,1,1
A0A0V0Y7N9,1,1
A0A1I8B7Q7,1,1
A0A1I8HRM2,1,1
A0A2B4RKM3,1,1
A0A3P8QI41,1,1
A0A3P9BRW1,1,1
A0A3Q4N8X3,1,1
A0A3Q1C795,1,1
A0A3P8U4P4,1,1
A0A3B4XB49,1,1
A0A3Q2WP79,1,1
A0A3Q3N2H0,1,1
A0A4W6EPK1,1,1
A0A480XVA8,1,1
A0A4W5NXS8,1,1
A0A5C6N788,1,1
A0A6P3HJI9,1,1
A0A8B7ZJK2,1,1
A0A8C4N2C5,1,1
A0A8C8H9K7,1,1
A0A8C5BF48,1,1
A0A8U0PI80,1,1
A0A915M6R6,1,1
A0A9J2Q7L9,1,1
A0AAJ7TGN6,1,1
L5JYR5,1,1
A0A6V7VTP7,1,1
A0A6V7Y1H6,1,1
A0A8S9ZE41,1,1
A0A914NGN0,1,1
A0A915MAZ8,1,1
A0A915MF91,1,1
A0A914MT30,1,1
A0A915P207,1,1
A0A7W7YJT5,1,1
A0A7R9ABI0,1,1
A0AAE0W1V6,1,1
A0A8B8EXY3,1,1
V4B5K0,1,1
A0A179SZB4,1,1
A0A1G8CN92,1,1
A0A1M5IIE1,1,1
A0A2C1KQG5,1,1
A0A495A4F7,1,1
A0A5C6W2K1,1,1
A0A941DWP2,1,1
A0AAJ4JPX5,1,1
A0A443SQX0,1,2
A0A4U5MQL8,1,1
A0A2P7MTI5,1,1
A0A6N0E580,1,1
A0A7T1IBI4,1,1
A0A9D7C9X2,1,1
A0A6P4Y074,1,3
A0A8J9ZE10,1,3
A0A9J7KWM6,1,3
A0A7S0HTD1,1,1
A0A7S0EKC3,1,1
A0A419FSV1,1,1
A0A914WP26,1,3
A0A8B7E6Q8,1,2
A0A8B7DLN7,1,2
T2MAN2,1,2
A0A9W7LEB5,1,1
A0A9W7AA01,1,1
A0A3E0PWI9,1,1
Q18120,1,1
A0A016WN85,1,1
A0A016WMB7,1,1
A0A2G5SXX1,1,1
A0A261BCR2,1,1
A0A2A2KVJ6,1,1
A0A3P7BE46,1,1
A0A3P7JNT2,1,1
A0A3P8BRU9,1,1
A0A4E9F1B6,1,1
A0A8S1H130,1,1
A0A8S1EHP3,1,1
A0A8L7SYL4,1,1
A0A9P1MIT9,1,1
A0A9P1B0I8,1,1
A0A9P1J2J2,1,1
A0AA36D3D8,1,1
A0AAF3EYN9,1,1
A0A0N4YIF3,1,1
A0A0B2UI91,1,1
A0A139CM21,1,1
A0A1I7URT7,1,1
A0A261CIA5,1,1
A0A914ZNI9,1,1
A0A8R1DHW1,1,1
A0A914ZHF9,1,1
A0A914XM01,1,1
A0AAE9FG72,1,1
A0AAN8FPR9,1,1
F1LFD9,1,1
W2TVR5,1,1
A0A090M476,1,1
A0AA88YPI5,1,2
A0A0V0WZA8,1,2
A0A183IKL3,1,2
A0A0R3RMG4,1,2
A0A0N5BCI2,1,2
A0A0N5A317,1,2
A0A0K0F0E8,1,2
A0A3B3WRI3,1,2
A0A336MGI3,1,2
A0A2R2MPD5,1,2
A0A3Q9D0J7,1,2
A0A4W4DYY9,1,2
A0A673MH30,1,2
A0A672LR64,1,2
A0A6P4YQQ1,1,2
A0A6P4Y4M8,1,2
A0A6P4Y4N7,1,2
A0A7E6ERA4,1,2
A0A7E4W8C3,1,2
A0A816NK66,1,2
A0A8B9YWG2,1,2
A0A8X6LDW4,1,2
A0A8S9YVJ2,1,2
A0A9C6TQX8,1,2
A0A9P1IML9,1,2
A0AAD4R0N5,1,2
A0AAE2D5Q9,1,2
A0AAE1FEC9,1,2
T1K1E6,1,2
P86106,1,1
A0A1S3MIT0,1,2
A0A6V7IPC7,1,1
A0AAD8F5Z2,1,2
A9VAE4,1,1
A0A6A3AIY5,1,1
A0A6L2KTI0,1,1
A0A1C6N1X5,1,1
A0A1Y6C915,1,1
A0A318J3R4,1,1
A0A3G9GIB9,1,1
A0A4V3DUF6,1,1
A0A950MGM3,1,1
A0A2A2J6E0,1,1
W2SPQ1,1,1
A0A9P6QGB7,1,1
A0AA38UC88,1,1
A0AAD5U6X9,1,1
A0A0Q3X9T5,1,3
A0A1A8E3C2,1,3
A0A1A8NG76,1,3
A0A1A8A9B7,1,3
A0A1A7Y4A0,1,3
A0A1A8EIY0,1,3
A0A1L8HUS9,1,3
A0A1S3GND7,1,3
A0A218UEZ2,1,3
A0A1V4JUF6,1,3
A0A2I0MGU2,1,3
A0A2Y9K8L3,1,3
A0A384CTZ6,1,3
A0A3Q0CPQ0,1,3
A0A3Q7TK67,1,3
A0A3Q7P867,1,3
A0A4D9FA92,1,3
A0A485NWK8,1,3
A0A4W6E684,1,3
A0A480DP43,1,3
A0A671ET77,1,3
A0A5N4EGI7,1,3
A0A6J0IFL0,1,3
A0A6I9ZA50,1,3
A0A6P6CJQ2,1,3
A0A6P8QEQ1,1,3
A0A6P7IHA2,1,3
A0A6J3D0D1,1,3
A0A6P7N2Z3,1,3
A0A6P7XAJ4,1,3
A0A6P8EXS2,1,3
A0A6P3QHK3,1,3
A0A7F8QU00,1,3
A0A7J7XJY7,1,3
A0A7J8ICQ6,1,3
A0A7J8ICG8,1,3
A0A833ZSM2,1,3
A0A8J0QFL2,1,3
A0A8J0T1S2,1,3
A0A8U0NQZ9,1,3
A0A8J6GU50,1,3
A0A8U0U900,1,3
A0A8U0NQV5,1,3
A0A8U0TCU4,1,3
A0A9J7F041,1,3
A0A9J7F599,1,3
A0A9Y4JJK7,1,3
A0AAD3MVL8,1,3
A0A9W2VF34,1,3
A0AAD1SH46,1,3
A0AAJ7GCB8,1,3
A0AAJ8DFN9,1,3
A0AAD8GIX3,1,3
S7PVC2,1,3
M0QT17,1,3
H9EZQ9,1,3
V9KHY2,1,3
A0A6L5Z5K7,1,1
A0A7S3ZIH0,1,1
A0A7T5ERA3,1,1
A0A7C7UAM4,1,1
A0A4Y8I0F8,1,1
A0A4Y8I9C1,1,1
A0A537QTT1,1,1
A0A7V1IFD5,1,1
A0A8J1W9W9,1,4
A0AAD9KK28,1,1
P59886,1,1
A0A1I8HDA3,1,1
A0A267DKK9,1,1
A0A267FZQ2,1,1
A0AAE0ZD22,1,3
A0AA35X6B8,1,2
A0A7J8EZE0,1,1
A0A7J7R6C4,1,1
A0A7J7R5T7,1,1
A0A7J8EZX2,1,1
A0A7J8EZL1,1,1
A0A182WHJ6,1,3
A0A182QKV6,1,3
A0A1B0CID6,1,3
A0A182PB08,1,3
A0A182NUY0,1,3
A0A182XCI7,1,3
A0A6E8W0D8,1,3
A0A8W7PIW6,1,3
A0A507SKR0,1,1
A0A6M4JBC6,1,1
A0A975A3A1,1,1
A0A0S2Z368,1,4
A0A3B4GGH1,1,4
A0A3Q3FT68,1,4
